date,county,population,baseline_congestion_index,vehicle_km_millions,goods_vehicle_share,congestion_index
2023-01-01,Dublin,1453000.0,1.0,9.846012472292422,0.13639503126795044,1.2527358962562052
2023-01-02,Dublin,1453000.0,1.0,11.32259780983748,0.19079781918683886,1.0420503139266837
2023-01-03,Dublin,1453000.0,1.0,11.066086921086509,0.19618355296990164,0.9794516220364787
2023-01-04,Dublin,1453000.0,1.0,10.796554332062666,0.12075075042079289,0.9897713398231558
2023-01-05,Dublin,1453000.0,1.0,10.986463038023455,0.15603589920600686,0.9758096826600924
2023-01-06,Dublin,1453000.0,1.0,10.753000707972557,0.20017988871264783,1.02623724710558
2023-01-07,Dublin,1453000.0,1.0,9.869242334808899,0.16567797258369785,1.219228484302573
2023-01-08,Dublin,1453000.0,1.0,10.387736750219759,0.15442120285825092,1.216010502664731
2023-01-09,Dublin,1453000.0,1.0,10.969980017270155,0.14583886333281132,0.9583701110328513
2023-01-10,Dublin,1453000.0,1.0,10.913840096784387,0.1391761142824656,0.9577457945742927
2023-01-11,Dublin,1453000.0,1.0,11.409477794291936,0.14574970594760528,1.0141268301601412
2023-01-12,Dublin,1453000.0,1.0,11.348960953324061,0.13898541175183723,1.077073750604654
2023-01-13,Dublin,1453000.0,1.0,11.235375005508917,0.16489816717116068,0.9701387105077912
2023-01-14,Dublin,1453000.0,1.0,9.485825389904056,0.14203692694617115,1.278546374699189
2023-01-15,Dublin,1453000.0,1.0,9.834014751499032,0.14117696975979885,1.2575332112501711
2023-01-16,Dublin,1453000.0,1.0,11.503632340881552,0.12595678626341839,0.9669393230124407
2023-01-17,Dublin,1453000.0,1.0,10.602418458498118,0.14900820251239394,0.9916990134991903
2023-01-18,Dublin,1453000.0,1.0,10.985168919506824,0.13211756653121992,0.9930124997298764
2023-01-19,Dublin,1453000.0,1.0,10.368805254170104,0.14638499662541812,0.9792789432512904
2023-01-20,Dublin,1453000.0,1.0,10.625632089913761,0.17083631105443065,1.0579182062113766
2023-01-21,Dublin,1453000.0,1.0,9.14628641321561,0.15731849772622253,1.1928163829102854
2023-01-22,Dublin,1453000.0,1.0,9.753378099002974,0.16009450589570862,1.2614310934456123
2023-01-23,Dublin,1453000.0,1.0,10.63502558292565,0.15712181799515607,1.0099457344190115
2023-01-24,Dublin,1453000.0,1.0,11.310158314785385,0.15118351460382987,0.9826115140535477
2023-01-25,Dublin,1453000.0,1.0,11.258470255027975,0.1474534353865674,1.0044850859612615
2023-01-26,Dublin,1453000.0,1.0,11.104755896084264,0.14384387568196666,1.026328149060877
2023-01-27,Dublin,1453000.0,1.0,10.116627173073464,0.16518234017666145,1.0045820540631902
2023-01-28,Dublin,1453000.0,1.0,9.635648690866342,0.12831520381423503,1.2625197596762203
2023-01-29,Dublin,1453000.0,1.0,9.826445819422098,0.17681445172451088,1.270787357998164
2023-01-30,Dublin,1453000.0,1.0,11.238923579013544,0.15068156125369633,0.9390383202875036
2023-01-31,Dublin,1453000.0,1.0,10.52386234329187,0.13502599218845251,1.0443513437641492
